Case Number,Date Reported,Time Reported,Month Reported,Day of Week,Call for Service Nature,Address of Occurance,Reporting District,Agency,Report/No Report
B16-11386,3/26/16,2:00 PM,March,Saturday,PANHANDLING,500 S LIBERTY DR; KROGER WHITEHALL,LB403,BPD,No Report
B16-11806,3/29/16,9:43 PM,March,Tuesday,PANHANDLING,3939 W 3RD ST; SPEEDWAY WEST,LB403,BPD,No Report
B16-11994,3/31/16,11:12 AM,March,Thursday,PANHANDLING,423 E KIRKWOOD AVE; NICKS ENGLISH HUT,LB102,BPD,No Report
B16-12038,3/31/16,7:31 PM,March,Thursday,PANHANDLING,221 N WALNUT ST; BLACKS MERCANTILE,LB101,BPD,No Report
B16-00226,1/2/16,9:32 PM,January,Saturday,VANDALISM IP,2208 S OAKDALE DR,LB417,BPD,Report
B16-01020,1/9/16,1:04 AM,January,Saturday,VANDALISM IP,111 E 10TH ST,LB213,BPD,Report
B16-02773,1/22/16,3:37 AM,January,Friday,VANDALISM IP,212 N MORTON ST,LB101,BPD,Report
B16-02882,1/22/16,10:14 PM,January,Friday,VANDALISM IP,1209 W 12TH ST,LB517,BPD,No Report
B16-03047,1/24/16,12:10 AM,January,Sunday,VANDALISM IP,N WALNUT ST & E 14TH ST,LB519,BPD,No Report
B16-03138,1/24/16,5:52 PM,January,Sunday,VANDALISM IP,3901 N KINSER PIKE; BLOOMINGTON HIGH SCHOOL NORTH,LB508,BPD,Report
B16-03540,1/27/16,5:04 PM,January,Wednesday,VANDALISM IP,714 W KIRKWOOD AVE,LB520,BPD,No Report
B16-03608,1/28/16,4:49 AM,January,Thursday,VANDALISM IP,2100 N WALNUT ST; HAMPTON INN,LB212,BPD,No Report
B16-03684,1/28/16,5:28 PM,January,Thursday,VANDALISM IP,1220 N ARLINGTON PARK DR,LB514,BPD,No Report
B16-03753,1/29/16,4:38 AM,January,Friday,VANDALISM IP,653 E BAYBERRY CT W,LB326,BPD,Report
B16-04052,1/30/16,11:52 PM,January,Saturday,VANDALISM IP,2819 E 3RD ST; MCDONALDS EAST; FLR 1,LB221,BPD,No Report
B16-04270,2/1/16,4:52 PM,February,Monday,VANDALISM IP,1010 W COTTAGE GROVE AVE,LB518,BPD,Report
B16-04379,2/2/16,3:19 PM,February,Tuesday,VANDALISM IP,3008 S ACADIA CT; ACADIA COURTS,LB329,BPD,No Report
B16-04722,2/5/16,2:11 PM,February,Friday,VANDALISM IP,2355 S BRANDON CT,LB326,BPD,Report
B16-04922,2/7/16,4:53 AM,February,Sunday,VANDALISM IP,407 E 12TH ST,LB213,BPD,Report
B16-05002,2/8/16,12:29 AM,February,Monday,VANDALISM IP,1008 N SUMMIT ST,LB517,BPD,Report
B16-05855,2/15/16,1:45 PM,February,Monday,VANDALISM IP,1400 N GRANT ST,LB212,BPD,Report
B16-06254,2/18/16,6:01 PM,February,Thursday,VANDALISM IP,2371 S WINSLOW CT,LB326,BPD,Report
B16-06523,2/20/16,1:08 PM,February,Saturday,VANDALISM IP,600 N COLLEGE AVE,LB519,BPD,No Report
B16-06578,2/20/16,6:41 PM,February,Saturday,VANDALISM IP,243 E VARSITY LN,LB212,BPD,No Report
B16-06621,2/21/16,12:11 AM,February,Sunday,VANDALISM IP,112 E SOUTHERN DR,LB315,BPD,Report
B16-07451,2/27/16,2:59 AM,February,Saturday,VANDALISM IP,501 N COLLEGE AVE; SPRINGHILL SUITES,LB101,BPD,No Report
B16-07767,2/29/16,2:53 PM,February,Monday,VANDALISM IP,3100 S WALNUT STREET PIKE; APT A65,LB336,BPD,Report
B16-09407,3/11/16,4:03 PM,March,Friday,VANDALISM IP,W 10TH ST & W COTTAGE GROVE AVE,LB518,BPD,Report
B16-09439,3/11/16,8:15 PM,March,Friday,VANDALISM IP,S ROCKPORT RD & W COUNTRYSIDE LN,LB420,BPD,No Report
B16-09644,3/13/16,10:47 AM,March,Sunday,VANDALISM IP,1200 W 7TH ST; WHITE OAK CEMETERY; WHITE OAK CEMETERY,LB521,BPD,No Report
B16-09849,3/14/16,11:47 PM,March,Monday,VANDALISM IP,1001 S HENDERSON ST; BRYAN PARK; BRYAN PARK PLAYGROUND,LB313,BPD,Report
B16-10011,3/16/16,4:13 AM,March,Wednesday,VANDALISM IP,1407 N DUNN ST; 1/2 APT 1,LB212,BPD,Report
B16-10129,3/17/16,8:31 AM,March,Thursday,VANDALISM IP,101 W 2ND ST; SEMINARY PARK,LB410,BPD,No Report
B16-10277,3/18/16,12:49 PM,March,Friday,VANDALISM IP,2800 W WAPEHANI RD; WAPEHANI MOUNTAIN BIKE PARK,LB426,BPD,Report
B16-10294,3/18/16,3:46 PM,March,Friday,VANDALISM IP,1700 S HENDERSON ST,LB315,BPD,Report
B16-10885,3/23/16,12:46 AM,March,Wednesday,VANDALISM IP,219 E 7TH ST,LB102,BPD,Report
B16-11005,3/23/16,8:52 PM,March,Wednesday,VANDALISM IP,800 N SMITH RD; APT 6M,LB218,BPD,No Report
B16-11326,3/26/16,3:52 AM,March,Saturday,VANDALISM IP,301 E 20TH ST,LB212,BPD,Report
B16-11474,3/27/16,1:51 AM,March,Sunday,VANDALISM IP,4545 E LAMPKINS RIDGE RD; EASTVIEW CHURCH OF THE NAZARENE,LMS09,BPD,No Report
B16-11784,3/29/16,5:05 PM,March,Tuesday,VANDALISM IP,2300 E CANADA DR; OLCOTT PARK PLAYGROUND; OLCOTT PARK,LB334,BPD,Report
B16-00134,1/2/16,5:31 AM,January,Saturday,VANDALISM NP,2401 W 3RD ST; BIG RED LIQUORS,LB404,BPD,Report
B16-00205,1/2/16,5:50 PM,January,Saturday,VANDALISM NP,3821 E MCCRACKEN WAY; SHAMROCK POINTE; APT 7,LB220,BPD,Report
B16-00385,1/4/16,9:44 AM,January,Monday,VANDALISM NP,3600 E GRANDVIEW DR,LB220,BPD,Report
B16-00511,1/5/16,10:43 AM,January,Tuesday,VANDALISM NP,500 W 13TH ST,LB518,BPD,Report
B16-00547,1/5/16,2:53 PM,January,Tuesday,VANDALISM NP,200 E GLENDORA DR,LB209,BPD,Report
B16-00817,1/7/16,3:58 PM,January,Thursday,VANDALISM NP,2500 S ROCKPORT RD; APT 2407,LB424,BPD,No Report
B16-01066,1/9/16,10:38 AM,January,Saturday,VANDALISM NP,400 E 2ND ST; APT 17,LB301,BPD,Report
B16-01414,1/12/16,8:48 AM,January,Tuesday,VANDALISM NP,911 E UNIVERSITY ST,LB302,BPD,Report
B16-01451,1/12/16,2:35 PM,January,Tuesday,VANDALISM NP,612 S STATE ROAD 446,LB307,BPD,Report
B16-01532,1/13/16,3:11 AM,January,Wednesday,VANDALISM NP,322 S GRANT ST,LB104,BPD,Report
B16-01600,1/13/16,5:22 PM,January,Wednesday,VANDALISM NP,411 E SOUTHERN DR; APT 10,LB315,BPD,Report
B16-01636,1/13/16,11:05 PM,January,Wednesday,VANDALISM NP,2500 S ROCKPORT RD; 1604,LB424,BPD,No Report
B16-01889,1/15/16,1:46 PM,January,Friday,VANDALISM NP,1016 S FIELDCREST CT,LB309,BPD,Report
B16-01944,1/15/16,7:11 PM,January,Friday,VANDALISM NP,122 E RIDGEVIEW DR,LB328,BPD,Report
B16-02061,1/16/16,4:00 PM,January,Saturday,VANDALISM NP,3502 N STONEYCREST RD,LB507,BPD,Report
B16-02125,1/17/16,2:06 AM,January,Sunday,VANDALISM NP,259 E VARSITY LN,LB212,BPD,Report
B16-02165,1/17/16,2:33 PM,January,Sunday,VANDALISM NP,3939 W ROLL AVE; APT 7,LB416,BPD,Report
B16-02241,1/18/16,8:18 AM,January,Monday,VANDALISM NP,1105 S FAIRVIEW ST; HAWKE PROPERTIES; APT E,LB412,BPD,No Report
B16-02257,1/18/16,10:50 AM,January,Monday,VANDALISM NP,2381 S BRANDON CT,LB326,BPD,Report
B16-02314,1/18/16,6:40 PM,January,Monday,VANDALISM NP,3068 E 3RD ST; MACYS,LB305,BPD,Report
B16-02366,1/19/16,7:22 AM,January,Tuesday,VANDALISM NP,205 E 6TH ST; APT 205,LB102,BPD,Report
B16-02757,1/22/16,12:49 AM,January,Friday,VANDALISM NP,2500 S ROCKPORT RD; APT 707,LB424,BPD,Report
B16-02819,1/22/16,2:25 PM,January,Friday,VANDALISM NP,277 W 11TH ST,LB519,BPD,Report
B16-03004,1/23/16,7:35 PM,January,Saturday,VANDALISM NP,1211 W 13TH ST,LB517,BPD,Report
B16-03014,1/23/16,9:13 PM,January,Saturday,VANDALISM NP,315 E 8TH ST; APT 11,LB102,BPD,Report
B16-03088,1/24/16,8:16 AM,January,Sunday,VANDALISM NP,1421 W HABITAT ST,LB521,BPD,Report
B16-03416,1/26/16,6:20 PM,January,Tuesday,VANDALISM NP,425 E WYLIE ST,LB301,BPD,Report
B16-03496,1/27/16,10:06 AM,January,Wednesday,VANDALISM NP,940 N WALNUT ST; ELKINS APTS,LB213,BPD,Report
B16-03623,1/28/16,8:58 AM,January,Thursday,VANDALISM NP,528 S COLLEGE AVE; KROGER SEMINARY SQUARE,LB410,BPD,Report
B16-03629,1/28/16,10:19 AM,January,Thursday,VANDALISM NP,430 S WASHINGTON ST; GOLD CASTERS,LB104,BPD,Report
B16-03687,1/28/16,5:25 PM,January,Thursday,VANDALISM NP,W 17TH ST & N ARLINGTON PARK DR,LB517,BPD,Report
B16-03690,1/28/16,5:51 PM,January,Thursday,VANDALISM NP,2700 E BRIGS BND,LB320,BPD,No Report
B16-03752,1/29/16,4:21 AM,January,Friday,VANDALISM NP,1201 W GREEN TREE LN,LB413,BPD,No Report
B16-03768,1/29/16,8:38 AM,January,Friday,VANDALISM NP,503 S VILLAGE CT,LB402,BPD,Report
B16-03793,1/29/16,1:04 PM,January,Friday,VANDALISM NP,801 W 7TH ST,LB520,BPD,Report
B16-03830,1/29/16,4:20 PM,January,Friday,VANDALISM NP,359 S LANDMARK AVE,LB405,BPD,Report
B16-03932,1/30/16,11:05 AM,January,Saturday,VANDALISM NP,2440 S HENDERSON ST; APT 207,LB327,BPD,Report
B16-03951,1/30/16,1:28 PM,January,Saturday,VANDALISM NP,2474 S WINSLOW CT; BLDG 2,LB326,BPD,Report
B16-03965,1/30/16,3:15 PM,January,Saturday,VANDALISM NP,2044 S OAKDALE DR; APT M,LB417,BPD,Report
B16-03982,1/30/16,4:41 PM,January,Saturday,VANDALISM NP,717 N WASHINGTON ST,LB213,BPD,No Report
B16-04051,1/30/16,11:41 PM,January,Saturday,VANDALISM NP,3920 W MAYBURY MALL; APT C14,LB428,BPD,No Report
B16-04088,1/31/16,8:42 AM,January,Sunday,VANDALISM NP,300 N WALNUT ST; WALNUT CENTER,LB102,BPD,Report
B16-04115,1/31/16,2:01 PM,January,Sunday,VANDALISM NP,3175 W 3RD ST; KMART WEST,LB403,BPD,Report
B16-04120,1/31/16,2:22 PM,January,Sunday,VANDALISM NP,300 E STATE ROAD 45 46 BYPASS; APT 42,LB212,BPD,Report
B16-04228,2/1/16,12:21 PM,February,Monday,VANDALISM NP,120 S KINGSTON DR; APT 46D,LB221,BPD,Report
B16-04277,2/1/16,5:39 PM,February,Monday,VANDALISM NP,901 N DUNN ST,LB213,BPD,Report
B16-04350,2/2/16,1:43 PM,February,Tuesday,VANDALISM NP,345 S MULLER PKWY; LOT 36,LB405,BPD,No Report
B16-04451,2/3/16,6:28 AM,February,Wednesday,VANDALISM NP,809 N WALNUT ST,LB519,BPD,Report
B16-04509,2/3/16,3:38 PM,February,Wednesday,VANDALISM NP,2500 S ROCKPORT RD; APT 2403,LB424,BPD,No Report
B16-04975,2/7/16,6:27 PM,February,Sunday,VANDALISM NP,108 E SOUTHERN DR,LB315,BPD,Report
B16-05128,2/9/16,9:00 AM,February,Tuesday,VANDALISM NP,3901 N KINSER PIKE; BLOOMINGTON HIGH SCHOOL NORTH,LB508,BPD,Report
B16-05239,2/10/16,11:57 AM,February,Wednesday,VANDALISM NP,1020 S WOODLAWN AVE; BRYAN PARK POOL,LB313,BPD,Report
B16-05722,2/14/16,9:24 AM,February,Sunday,VANDALISM NP,1200 E ATWATER AVE,LB302,BPD,Report
B16-05831,2/15/16,9:48 AM,February,Monday,VANDALISM NP,221 N WALNUT ST; BLACKS MERCANTILE,LB101,BPD,Report
B16-06004,2/16/16,6:14 PM,February,Tuesday,VANDALISM NP,2297 W BLOOMFIELD RD; APT 1,LMS31,BPD,Report
B16-06067,2/17/16,10:53 AM,February,Wednesday,VANDALISM NP,423 E KIRKWOOD AVE; NICKS ENGLISH HUT,LB102,BPD,No Report
B16-06071,2/17/16,11:07 AM,February,Wednesday,VANDALISM NP,1013 S MADISON ST,LB412,BPD,No Report
B16-06100,2/17/16,3:08 PM,February,Wednesday,VANDALISM NP,2813 E 3RD ST; STAPLES; BARNES AND NOBLE,LB221,BPD,Report
B16-06319,2/19/16,8:20 AM,February,Friday,VANDALISM NP,3641 N KINSER PIKE,LB507,BPD,Report
B16-06386,2/19/16,2:31 PM,February,Friday,VANDALISM NP,350 N GATES DR; LOWES,LB524,BPD,No Report
B16-06608,2/20/16,8:42 PM,February,Saturday,VANDALISM NP,126 S FRANKLIN RD; CHEDDARS RESTAURANT,LB523,BPD,Report
B16-06689,2/21/16,12:00 PM,February,Sunday,VANDALISM NP,2740 E COVENANTER DR; CHASE,LB310,BPD,Report
B16-06701,2/21/16,1:24 PM,February,Sunday,VANDALISM NP,321 E 14TH ST; APT A1,LB213,BPD,Report
B16-06710,2/21/16,3:36 PM,February,Sunday,VANDALISM NP,215 E VARSITY LN; STADIUM CROSSING  TETER QUAD,LB212,BPD,Report
B16-06799,2/22/16,11:18 AM,February,Monday,VANDALISM NP,809 E HUNTER AVE; APT 12,LB302,BPD,Report
B16-06855,2/22/16,5:34 PM,February,Monday,VANDALISM NP,219 E BROWNSTONE DR,LB213,BPD,Report
B16-06910,2/23/16,12:25 AM,February,Tuesday,VANDALISM NP,808 W COOLIDGE DR,LB423,BPD,Report
B16-06953,2/23/16,8:21 AM,February,Tuesday,VANDALISM NP,1013 S MADISON ST,LB412,BPD,Report
B16-06956,2/23/16,8:41 AM,February,Tuesday,VANDALISM NP,2224 E 3RD ST; SAINT CHARLES CATHOLIC CHURCH,LB304,BPD,Report
B16-06977,2/23/16,1:11 PM,February,Tuesday,VANDALISM NP,N WASHINGTON ST & E 7TH ST,LB102,BPD,Report
B16-07003,2/23/16,4:09 PM,February,Tuesday,VANDALISM NP,421 S COLLEGE AVE; PLANNED PARENTHOOD,LB103,BPD,Report
B16-07048,2/23/16,9:59 PM,February,Tuesday,VANDALISM NP,1111 S WASHINGTON ST,LB314,BPD,Report
B16-07081,2/24/16,8:27 AM,February,Wednesday,VANDALISM NP,1202 N WALNUT ST,LB213,BPD,Report
B16-07126,2/24/16,4:40 PM,February,Wednesday,VANDALISM NP,750 S WALKER ST; LOT 57,LB409,BPD,Report
B16-07133,2/24/16,5:47 PM,February,Wednesday,VANDALISM NP,1033 S HAWTHORNE DR,LB313,BPD,Report
B16-07200,2/25/16,8:25 AM,February,Thursday,VANDALISM NP,221 N WALNUT ST; BLACKS MERCANTILE,LB101,BPD,Report
B16-07309,2/26/16,7:51 AM,February,Friday,VANDALISM NP,710 N WALNUT ST,LB213,BPD,Report
B16-07471,2/27/16,11:01 AM,February,Saturday,VANDALISM NP,807 N LINCOLN ST,LB213,BPD,Report
B16-07624,2/28/16,10:44 AM,February,Sunday,VANDALISM NP,207 S ROGERS ST; HOOSIER WORKWEAR,LB103,BPD,Report
B16-07770,2/29/16,3:15 PM,February,Monday,VANDALISM NP,2019 W ROSS CT,LB414,BPD,No Report
B16-07787,2/29/16,5:19 PM,February,Monday,VANDALISM NP,1004 W RCA PARK DR,LB420,BPD,Report
B16-07791,2/29/16,6:18 PM,February,Monday,VANDALISM NP,1415 W 13TH ST,LB517,BPD,Report
B16-07988,3/2/16,10:17 AM,March,Wednesday,VANDALISM NP,1004 W COUNTRY CLUB DR,LB423,BPD,Report
B16-08149,3/3/16,1:32 PM,March,Thursday,VANDALISM NP,1509 S HUNTINGTON DR,LB316,BPD,Report
B16-08183,3/3/16,4:33 PM,March,Thursday,VANDALISM NP,2907 E BUICK CADILLAC BLVD; INDIANA BENEFITS INC,LB305,BPD,Report
B16-08279,3/4/16,9:18 AM,March,Friday,VANDALISM NP,619 N WASHINGTON ST,LB213,BPD,Report
B16-08526,3/5/16,9:21 PM,March,Saturday,VANDALISM NP,3100 S WALNUT STREET PIKE,LB336,BPD,Report
B16-08578,3/6/16,7:55 AM,March,Sunday,VANDALISM NP,110 S WESTPLEX AVE,LB521,BPD,Report
B16-08598,3/6/16,11:45 AM,March,Sunday,VANDALISM NP,118 N WALNUT ST,LB102,BPD,Report
B16-08641,3/6/16,7:20 PM,March,Sunday,VANDALISM NP,2315 S ROCKPORT RD; APT D,LB423,BPD,No Report
B16-08701,3/7/16,9:05 AM,March,Monday,VANDALISM NP,714 N WASHINGTON ST,LB213,BPD,Report
B16-08717,3/7/16,9:52 AM,March,Monday,VANDALISM NP,4101 E MORNINGSIDE DR,LB219,BPD,Report
B16-08865,3/8/16,8:56 AM,March,Tuesday,VANDALISM NP,311 E COTTAGE GROVE AVE,LB213,BPD,Report
B16-08870,3/8/16,9:32 AM,March,Tuesday,VANDALISM NP,308 E COTTAGE GROVE AVE,LB213,BPD,Report
B16-09217,3/10/16,11:26 AM,March,Thursday,VANDALISM NP,2813 E 3RD ST; STAPLES; BARNES AND NOBLE,LB221,BPD,Report
B16-09331,3/11/16,5:49 AM,March,Friday,VANDALISM NP,1111 S WASHINGTON ST,LB314,BPD,No Report
B16-09340,3/11/16,8:00 AM,March,Friday,VANDALISM NP,312 S SWAIN AVE; STE B,LB303,BPD,Report
B16-09417,3/11/16,4:41 PM,March,Friday,VANDALISM NP,556 S DOLIMAH AVE,LB406,BPD,Report
B16-09491,3/12/16,4:22 AM,March,Saturday,VANDALISM NP,1004 W COUNTRY CLUB DR; APT 14,LB423,BPD,Report
B16-09522,3/12/16,10:26 AM,March,Saturday,VANDALISM NP,612 E UNIVERSITY ST,LB302,BPD,Report
B16-09523,3/12/16,10:33 AM,March,Saturday,VANDALISM NP,S GRANT ST & E 1ST ST; 402 N CLARK,LB301,BPD,Report
B16-09524,3/12/16,10:49 AM,March,Saturday,VANDALISM NP,611 E 1ST ST,LB302,BPD,No Report
B16-09529,3/12/16,11:04 AM,March,Saturday,VANDALISM NP,412 E UNIVERSITY ST,LB301,BPD,Report
B16-09564,3/12/16,4:49 PM,March,Saturday,VANDALISM NP,405 E 1ST ST,LB301,BPD,Report
B16-09705,3/13/16,7:45 PM,March,Sunday,VANDALISM NP,1600 N WILLIS DR; LOT 262,LB513,BPD,No Report
B16-09770,3/14/16,12:06 PM,March,Monday,VANDALISM NP,715 S HENDERSON ST,LB302,BPD,Report
B16-09811,3/14/16,6:15 PM,March,Monday,VANDALISM NP,1216 W 11TH ST,LB517,BPD,No Report
B16-09949,3/15/16,5:43 PM,March,Tuesday,VANDALISM NP,3552 E JOHN HINKLE PL,LB221,BPD,Report
B16-09953,3/15/16,5:44 PM,March,Tuesday,VANDALISM NP,3528 E JOHN HINKLE PL,LB221,BPD,Report
B16-10069,3/16/16,4:38 PM,March,Wednesday,VANDALISM NP,2498 S WALNUT ST; BURGER KING SOUTH,LB422,BPD,Report
B16-10142,3/17/16,1:26 PM,March,Thursday,VANDALISM NP,1200 W COTTAGE GROVE AVE,LB517,BPD,No Report
B16-10391,3/19/16,10:13 AM,March,Saturday,VANDALISM NP,807 N WALNUT ST; APT 1,LB519,BPD,Report
B16-10406,3/19/16,1:48 PM,March,Saturday,VANDALISM NP,3534 E JOHN HINKLE PL,LB221,BPD,Report
B16-10544,3/20/16,5:42 PM,March,Sunday,VANDALISM NP,3409 E JOHN HINKLE PL,LB221,BPD,Report
B16-10611,3/21/16,10:14 AM,March,Monday,VANDALISM NP,405 E 17TH ST; APT I16,LB212,BPD,Report
B16-10620,3/21/16,12:08 PM,March,Monday,VANDALISM NP,1804 E MAXWELL LN,LB312,BPD,Report
B16-10676,3/21/16,6:46 PM,March,Monday,VANDALISM NP,1705 S HUNTINGTON DR; APT 5,LB316,BPD,Report
B16-10768,3/22/16,9:37 AM,March,Tuesday,VANDALISM NP,1448 W PETAL CT,LB424,BPD,Report
B16-10785,3/22/16,12:54 PM,March,Tuesday,VANDALISM NP,915 S WASHINGTON ST,LB314,BPD,Report
B16-10788,3/22/16,1:03 PM,March,Tuesday,VANDALISM NP,2635 E 2ND ST; APT 4,LB304,BPD,Report
B16-10811,3/22/16,5:36 PM,March,Tuesday,VANDALISM NP,418 W NORTHLANE DR,LB513,BPD,Report
B16-10985,3/23/16,5:33 PM,March,Wednesday,VANDALISM NP,N WASHINGTON ST & E 9TH ST,LB102,BPD,Report
B16-11069,3/24/16,11:33 AM,March,Thursday,VANDALISM NP,1131 W 6TH ST,LB521,BPD,Report
B16-11448,3/26/16,10:03 PM,March,Saturday,VANDALISM NP,518 E 7TH ST; CHABAD HOUSE,LB102,BPD,Report
B16-11525,3/27/16,4:15 PM,March,Sunday,VANDALISM NP,418 W NORTHLANE DR,LB513,BPD,No Report
B16-11537,3/27/16,7:12 PM,March,Sunday,VANDALISM NP,420 E 19TH ST,LB212,BPD,No Report
B16-11610,3/28/16,9:45 AM,March,Monday,VANDALISM NP,2238 S BENT TREE DR,LB326,BPD,Report
B16-11615,3/28/16,11:41 AM,March,Monday,VANDALISM NP,501 N WALNUT ST,LB101,BPD,No Report
B16-11672,3/28/16,7:48 PM,March,Monday,VANDALISM NP,609 S HENDERSON ST; APT 203,LB302,BPD,Report
B16-11692,3/28/16,11:05 PM,March,Monday,VANDALISM NP,1709 W 8TH ST; VALHALLA MOBILE MANOR; lot 24,LB521,BPD,No Report
B16-11716,3/29/16,7:54 AM,March,Tuesday,VANDALISM NP,1100 W RAPPEL AVE; QUALITY INN,LB510,BPD,Report
B16-11809,3/29/16,9:49 PM,March,Tuesday,VANDALISM NP,308 E COTTAGE GROVE AVE,LB213,BPD,Report
B16-11835,3/30/16,6:24 AM,March,Wednesday,VANDALISM NP,904 E MAXWELL LN,LB313,BPD,Report
B16-11850,3/30/16,11:04 AM,March,Wednesday,VANDALISM NP,2125 S HIGHLAND AVE; MONROE COUNTY YMCA BLOOMINGTON,LB325,BPD,Report
B16-11862,3/30/16,12:57 PM,March,Wednesday,VANDALISM NP,916 E MAXWELL LN,LB313,BPD,Report
B16-11878,3/30/16,3:02 PM,March,Wednesday,VANDALISM NP,1002 E ATWATER AVE,LB302,BPD,Report
B16-11969,3/31/16,8:11 AM,March,Thursday,VANDALISM NP,3000 S WALNUT STREET PIKE; B5,LB328,BPD,Report
B16-12021,3/31/16,5:06 PM,March,Thursday,VANDALISM NP,1113 S ROGERS ST,LB412,BPD,No Report
B16-12063,3/31/16,10:15 PM,March,Thursday,VANDALISM NP,2431 S BROADVIEW DR,LB423,BPD,Report
